id,name,address,square_feet,PSU,EUI,city,country,state,yearBuilt,grossFloorArea,numberOfBuildings,occupancyPercentage,primaryFunction,propGrossFloorArea,referencePropertyTypeMedian,systemDefinedPropertyType,annual_electricity_use,annual_energy_cost,annual_ghg_emissions,annual_natural_gas_use,cost_per_square_foot,gas_percent_of_energy_cost,latitude,longitude
584,Underpass - 22ND STREET AND E STREET NW,22ND STREET AND E STREET NW,,Other - Public Services,,,,,,,,,,,,,154507.27,"$18,077.35",91.55,0.00,,,,
585,Underpass - 23RD STREET AND VIRGINIA AVENUE NW,23RD STREET AND VIRGINIA AVENUE NW,,Other - Public Services,,,,,,,,,,,,,4142.70,$484.70,2.45,0.00,,,,
586,Underpass - 400B FLORIDA AVENUE NE,400B FLORIDA AVENUE NE,,Other - Public Services,,,,,,,,,,,,,35327.77,"$4,133.35",20.93,0.00,,,,
587,Underpass - 4TH AVENUE AND VIRGINIA AVENUE (UNDERPASS) SE,4TH AVENUE AND VIRGINIA AVENUE (UNDERPASS) SE,,Other - Public Services,,,,,,,,,,,,,8158.51,$954.55,4.83,0.00,,,,
588,Underpass - 6100S EAST CAPITOL STREET NE,6100S EAST CAPITOL STREET NE,,Other - Public Services,,,,,,,,,,,,,4621.17,$540.68,2.74,0.00,,,,
589,Underpass - 898A OHIO DRIVE SW,898A OHIO DRIVE SW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
59,Income Maintenance Administration,645 H STREET NE,81610.00,Office,,,,,,,,,,,,,,,,,,,,
590,Underpass - 8TH STREET AND K STREET NE,8TH STREET AND K STREET NE,,Other - Public Services,,,,,,,,,,,,,13826.71,"$1,617.73",8.19,0.00,,,,
591,Underpass - ANACOSTIA FREEWAY AND HOWARD ROAD SE,ANACOSTIA FREEWAY AND HOWARD ROAD SE,,Other - Public Services,,,,,,,,,,,,,5890.91,$689.24,3.49,0.00,,,,
592,Underpass - ANACOSTIA FREEWAY AND SUITLAND PARKWAY,ANACOSTIA FREEWAY AND SUITLAND PARKWAY,,Other - Public Services,,,,,,,,,,,,,17090.08,"$1,999.54",10.13,0.00,,,,
593,Underpass - DUPONT CIRCLE AND CONNECTICUT AVENUE,DUPONT CIRCLE AND CONNECTICUT AVENUE,,Other - Public Services,,,,,,,,,,,,,186462.76,"$21,816.14",110.48,0.00,,,,
594,Underpass - E STREET BRIDGE (UNDER),E STREET BRIDGE (UNDER),,Other - Public Services,,,,,,,,,,,,,35868.35,"$4,196.60",21.25,0.00,,,,
595,Underpass - EAST CAPITOL STREET (RAILWAY),EAST CAPITOL STREET (RAILWAY),,Other - Public Services,,,,,,,,,,,,,245704.05,"$28,747.37",145.58,0.00,,,,
596,Underpass - K STREET EXPRESSWAY (SOUTH) AND PENNSYLVANIA AVENUE (SOUTH),K STREET EXPRESSWAY (SOUTH) AND PENNSYLVANIA AVENUE (SOUTH),,Other - Public Services,,,,,,,,,,,,,182622.95,"$21,366.89",108.20,0.00,,,,
597,Underpass - KENILWORTH AVENUE AND DOUGLAS STREET NE,KENILWORTH AVENUE AND DOUGLAS STREET NE,,Other - Public Services,,,,,,,,,,,,,10004.77,"$1,170.56",5.93,0.00,,,,
598,Underpass - KENILWORTH AVENUE AND HAYES STREET NE,KENILWORTH AVENUE AND HAYES STREET NE,,Other - Public Services,,,,,,,,,,,,,24095.01,"$2,819.12",14.28,0.00,,,,
599,Underpass - KENILWORTH AVENUE AND NASH STREET NE,KENILWORTH AVENUE AND NASH STREET NE,,Other - Public Services,,,,,,,,,,,,,4821.44,$564.11,2.86,0.00,,,,
6,DC Village,4A DC VILLAGE LANE SW,33743.00,Social/Meeting Hall,68.00,Washington,US,DC,1000,33743,0.00,100.00,Other,33743.00,CBECS - Other,Other,670828.45,"$78,486.93",397.47,0.00,$2.33,,,
60,Stuart-Hobson Middle School,410 E STREET NE,99325.00,K-12 School,71.00,Washington,US,DC,1927,114724,1.00,100.00,K-12 School,114724.00,CBECS - Elementary/Middle & High School,K-12 School,1420662.98,"$188,116.87",960.95,22483.88,$1.89,11.64%,,
600,Underpass - MINNESOTA AVENUE AND EAST CAPITOL STREET NE,MINNESOTA AVENUE AND EAST CAPITOL STREET NE,,Other - Public Services,,,,,,,,,,,,,11812.00,"$1,382.00",7.00,0.00,,,,
601,Underpass - NORTH CAPITOL STREET AND NEW YORK AVENUE NW,NORTH CAPITOL STREET AND NEW YORK AVENUE NW,,Other - Public Services,,,,,,,,,,,,,73336.53,"$8,580.37",43.45,0.00,,,,
602,Underpass - RHODE ISLAND AVENUE NE,RHODE ISLAND AVENUE NE,,Other - Public Services,,,,,,,,,,,,,80369.91,"$9,403.28",47.62,0.00,,,,
603,Union Station Bike Station,50 MASSACHUSETTS AVENUE NE,,Other - Public Services,,,,,,,,,,,,,77440.00,"$9,060.48",45.88,0.00,,,,
604,Utility Box,1745B C STREET NW,,Other,,,,,,,,,,,,,235.00,$27.50,0.14,0.00,,,,
605,Vacant - Formerly Charlie Horse,100 H STREET SE,,Other - Public Services,,,,,,,,,,,,,0.00,$0.00,0.00,0.00,,,,
606,Vacant Property - 609 H Street NE,609 H STREET NE,102466.00,Other - Public Services,0.00,,,,,,,,,,,,0.00,$0.00,0.00,0.00,$0.00,,,
607,Vacant Property (Recorder of Deeds),515 D STREET NW,46085.00,Other - Public Services,0.00,Washington,US,DC,1942,46530,1.00,0.00,Office,46530.00,CBECS - Office & Bank/Financial,Office,0.00,$0.00,0.00,0.00,$0.00,,38.89,-77.02
608,Van Ness Elementary School,1150 5TH STREET SE,48994.00,K-12 School,79.00,Washington,US,DC,2015,58413,1.00,100.00,K-12 School,58413.00,CBECS - Elementary/Middle & High School,K-12 School,812813.86,"$105,845.14",540.09,11032.77,$2.16,10.15%,,
609,Bernice Fonteneau Senior Wellness Center,3531 GEORGIA AVENUE NW,,Other - Public Services,,Washington,US,DC,2011,12056,1.00,100.00,Senior Care Community,13339.90,CBECS - Nursing,Senior Care Community,207103.76,"$27,842.62",142.37,3707.88,,12.97%,,
61,Capitol Hill Montessori @ Logan,215 G STREET NE,47200.00,K-12 School,67.00,Washington,US,DC,1935,55013,2.00,100.00,K-12 School,55013.00,CBECS - Elementary/Middle & High School,K-12 School,607436.86,"$81,668.26",417.60,10881.05,$1.73,12.98%,,
610,Warehouse/Office,2700 FIFTH STERLNG AVENUE SE,,Non-Refrigerated Warehouse,,Washington,US,DC,1000,0,1.00,100.00,Non-Refrigerated Warehouse,0.00,,,264881.00,"$30,991.08",156.94,0.00,,,,
611,Washington Highlands Interim Library,4037 SOUTH CAPITOL STREET SW,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
612,Washington Seniors Wellness Center,3001 ALABAMA AVENUE SE,,Senior Care Community,,,,,,,,,,,,,170451.81,"$19,942.86",100.99,0.00,,,38.86,-76.96
613,Waterfront Municipal Center East,1100 4TH STREET SW,340000.00,Office,46.00,Washington,US,DC,2010,341509,1.00,100.00,Office,340000.00,CBECS - Office & Bank/Financial,Office,4607074.71,"$539,027.74",2729.69,0.00,$1.59,,,
614,Waterfront Municipal Center West,1101 4TH STREET SW,295000.00,Office,63.00,Washington,US,DC,1000,295000,1.00,100.00,Office,295000.00,CBECS - Office & Bank/Financial,Office,5411277.20,"$633,119.43",3206.18,0.00,$2.15,,,
615,Webb Elementary,1375 MOUNT OLIVET ROAD NE,,Other - Public Services,,,,,,,,,,,,,2143.00,$250.73,1.27,0.00,,,,
616,Weights and Measures Division,1110 U STREET SE,,Other - Public Services,,,,,,,,,,,,,0.00,"$3,163.55",17.22,3248.00,,100.0%,,
617,Welcome to DC Sign - South Capitol Street Bridge,2201T SOUTH CAPITOL STREET SE,,Other - Public Services,,,,,,,,,,,,,3502.14,$409.75,2.08,0.00,,,,
618,Welcome to DC Sign - 8100 16th Street NW,8100 16TH STREET NW,,Other,,,,,,,,,,,,,1234.10,$144.39,0.73,0.00,,,,
619,Wilson Pool,4551 FORT DRIVE NW,54000.00,Other - Public Services,123.00,,,,,,,,,,,,15984.86,"$65,916.15",358.11,65755.57,$1.22,97.16%,38.95,-77.08
62,Hardy Recreation Center,4500 Q STREET NW,3133.00,Other - Recreation,80.00,,,,,,,,,,,,16509.44,"$3,810.21",20.01,1928.75,$1.22,49.3%,,
620,Winston Educational Center,3100 ERIE STREET SE,137700.00,Other - Public Services,0.00,Washington,US,DC,1000,137700,1.00,0.00,Other - Education,137700.00,CBECS - Elementary/Middle & High School,K-12 School,0.00,$0.00,0.00,0.00,$0.00,,,
621,Woodridge Library,1801 HAMLIN STREET NE,22500.00,Library,67.00,,,,,,,,,,,,436651.38,"$51,286.58",259.80,203.66,$2.28,0.39%,38.93,-76.98
622,Woodridge Interim Library,1790 DOUGLAS STREET NE,,Other - Public Services,,,,,,,,,,,,,79759.00,"$9,331.80",47.26,0.00,,,,
623,H.D. Woodson High School,5500 EADS STREET NE,235000.00,K-12 School,65.00,Washington,US,DC,2013,235000,0.00,100.00,K-12 School,235000.00,CBECS - Elementary/Middle & High School,K-12 School,3358016.74,"$430,709.21",2195.51,38830.85,$1.83,8.78%,38.90,-76.92
624,Woodson Junior Recreation Center,4101 MINNESOTA AVENUE NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,38.90,-76.95
625,Youth Offices/Project Empowerment,625 H STREET NE,,Office,,Washington,US,DC,1000,0,1.00,100.00,Office,0.00,,,2143.00,$250.73,1.27,0.00,,,,
626,Youth Services Administration #3,450 H STREET NW,31346.00,Office,72.00,Washington,US,DC,1000,31346,1.00,100.00,Office,31346.00,CBECS - Office & Bank/Financial,Office,660393.45,"$77,266.03",391.28,0.00,$2.46,,,
627,RISE Center,2700 MARTIN LUTHER KING JR AVENUE SE,,Other - Public Services,,,,,,,,,,,,,535483.31,"$62,651.55",317.27,0.00,,,38.85,-77.00
628,French Park,945 FRENCH STREET NW,,Other - Public Services,,,,,,,,,,,,,3764.07,$440.40,2.23,0.00,,,,
629,Butler Wyatt Recreation Center,128 M STREET NW,,Other - Public Services,,,,,,,,,,,,,57375.86,"$9,837.30",51.00,3207.73,,31.76%,,
63,Maury Elementary School,1250 CONSTITUTION AVENUE NE,65000.00,K-12 School,43.00,Washington,US,DC,1886,65000,1.00,100.00,K-12 School,65000.00,CBECS - Elementary/Middle & High School,K-12 School,591878.71,"$76,486.78",390.08,7430.15,$1.18,9.46%,,
631,2801 South Capitol Street DMP Project (Sign),2801 SOUTH CAPITOL STREET SE,,Other - Public Services,,,,,,,,,,,,,5740.64,$671.65,3.40,0.00,,,38.86,-77.01
632,DC Streetcar Yard,2550 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,938479.49,"$114,095.26",579.42,4407.76,,3.76%,,
633,West End Interim Library (Watergate East),2516 VIRGINIA AVENUE NW,,Other - Public Services,,,,,,,,,,,,,64361.43,"$7,530.29",38.13,0.00,,,,
634,Part of Reservation 343D,1105 O STREET SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
635,DC Streetcar,2501 FIRTH STIRLING AVENUE SE,,Other - Public Services,,,,,,,,,,,,,19012.68,"$2,224.48",11.27,0.00,,,,
636,1575 New York Avenue DMP Project (Sign),1575 NEW YORK AVENUE NE,,Other - Public Services,,,,,,,,,,,,,2195.55,$256.88,1.30,0.00,,,38.92,-76.98
637,Newark Playground,3900 NEWARK STREET NW,,Other - Public Services,,,,,,,,,,,,,2729.23,$319.32,1.62,0.00,,,,
638,Air Monitoring Portable Shelter Station,3600 BENNING ROAD NE,,Other - Public Services,,,,,,,,,,,,,14385.26,"$1,683.08",8.52,0.00,,,38.90,-76.96
639,Iberdrola,,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
64,Eastern High School,1700 EAST CAPITOL STREET NE,288800.00,K-12 School,55.00,Washington,US,DC,1923,288800,1.00,100.00,K-12 School,288800.00,CBECS - Elementary/Middle & High School,K-12 School,3243446.77,"$425,183.80",2170.51,46920.46,$1.47,10.75%,38.89,-76.98
640,2235 Shannon Place SE,2235 Shannon Place SE,,Other - Public Services,,,,,,,,,,,,,1549186.11,"$181,254.77",917.89,0.00,,,38.86,-76.99
641,Ballou High School (Demolished Spring 2015),3401 4TH STREET SE,,Other - Public Services,,,,,,,,,,,,,2859085.00,"$409,321.02",2101.23,76805.00,,18.28%,38.84,-77.00
642,Watkins Recreation Center,420 12TH STREET SE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
643,C.H.O.I.C.E. Academy at Emery,1720 1ST STREET NE,,Other - Public Services,,Washington,US,DC,2008,68300,1.00,100.00,K-12 School,68300.00,CBECS - Elementary/Middle & High School,K-12 School,420524.86,"$49,201.41",249.16,0.00,,,38.91,-77.01
644,La Casa Transitional Rehabilitation Program ,1131 Spring Road NW,89315.00,Other - Public Services,12.00,,,,,,,,,,,,142310.45,"$22,231.67",114.70,5730.34,$0.25,25.11%,38.94,-77.03
645,Dorothy Heights Elementary School,1300 ALLISON STREET NW,,Other - Public Services,,,,,,,,,,,,,595589.33,"$118,780.54",620.15,50407.18,,41.33%,,
646,Metro Memorial Park,5801 SOUTH DAKOTA AVENUE NE,,Other - Public Services,,,,,,,,,,,,,1607.70,$188.10,0.95,0.00,,,,
647,Patricia Handy Place for Women,810 5TH STREET NW,32246.00,Other - Public Services,93.00,Washington,US,DC,2016,32246,1.00,100.00,Multifamily Housing,32246.00,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,442394.00,"$66,148.14",340.44,14772.12,$2.05,21.75%,38.90,-77.02
648,Mayor's Guard Booth (Orchid Street),7929 ORCHID STREET NE,,Other - Public Services,,,,,,,,,,,,,8640.93,"$1,010.99",5.12,0.00,,,,
649,Orphan Electricity Generating Accounts,,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
65,Storage Space #1,1341 MARYLAND AVENUE NE,,Non-Refrigerated Warehouse,,Washington,US,DC,1000,0,1.00,100.00,Non-Refrigerated Warehouse,0.00,,,,,,,,,,
650,Camp Riverview,"49000 Cornfield Harbor Road, Scotland, MD 20687",,Other - Public Services,,,,,,,,,,,,,,,,,,,,
651,New Beginnings,"8400 River Road, Laurel MD 20724",,Other - Public Services,,,,,,,,,,,,,,,,,,,,
652,Benning Ridge Service Center SE DMV,4525 BENNING RD SE,,Other - Public Services,,,,,,,,,,,,,374275.26,"$45,111.82",228.95,1356.89,,2.93%,38.89,-76.94
653,NOMA Parks Foundation,101 HARRY THOMAS WAY NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
654,Comm Correction Center #3,1430 G STREET NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
655,Brightwood Recreation Area,16th STREET AND COLORADO AVE NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
656,Bunker Hill Park,1700 BUNKER HILL ROAD NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
657,Mitchell Park Recreation Center,1801 23RD STREET NW DC,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
659,Dumbarton Oaks Park,2103 WISCONSIN AVENUE NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
66,Merrit Middle School,5002 HAYES STREET NE,90400.00,K-12 School,79.00,Washington,US,DC,1000,90400,1.00,100.00,Police Station,90400.00,CBECS - Elementary/Middle & High School,K-12 School,1974756.42,"$235,374.94",1193.61,4443.98,$2.60,1.84%,38.90,-76.93
660,King Office Building,3720 MARTIN LUTHER KING JR AVENUE SE,,Other - Public Services,,,,,,,,,,,,,955544.42,"$111,798.70",566.16,0.00,,,38.84,-77.01
661,Ledroit Park,3RD STREET AND T STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
662,Fort Reno,4100 CHESEPEAKE STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
663,Hobart Twins Park,756 1/2 HOBART PLACE NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
664,Johnson Nursing Center,901 1ST STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
665,Westminster Park,907 WESTMINSTER STREET NW,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
666,GatewayDC Pavilion at Saint Elizabeth's,"2720 Martin Luther King Jr Avenue SE, Washington, DC 20032",,Other - Public Services,,,,,,,,,,,,,165140.39,"$19,321.43",97.85,0.00,,,38.85,-77.00
667,Public Art Light Installation,1201 GOOD HOPE ROAD SE,,Other - Public Services,,,,,,,,,,,,,42.88,$5.02,0.03,0.00,,,,
668,Case Bridge Under Pass and Overhead Sign,898 OHIO DRIVE SW,,Other - Public Services,,,,,,,,,,,,,28165.75,"$3,295.39",16.69,0.00,,,38.88,-77.03
669,Murch Elementary Swing Space at UDC,3373 VAN NESS STREET NW,,Other - Public Services,,,,,,,,,,,,,1073026.83,"$125,544.14",635.77,0.00,,,38.95,-77.07
67,Houston Elementary School,1100 50TH PLACE NE,59900.00,K-12 School,59.00,Washington,US,DC,1962,59900,1.00,100.00,K-12 School,59900.00,CBECS - Elementary/Middle & High School,K-12 School,525465.09,"$78,175.34",402.22,17141.61,$1.31,21.36%,,
670,Carter G Woodson Park,900 RHODE ISLAND AVENUE NW,,Other - Public Services,,,,,,,,,,,,,2697.54,$315.61,1.60,0.00,,,,
671,W Street NE Bus Lot,1601 W STREET  NE,,Other - Public Services,,,,,,,,,,,,,12429.57,"$1,454.26",7.36,0.00,,,,
672,Congress Heights Service Center,4049 SOUTH CAPITOL STREET SW,,Other - Public Services,,,,,,,,,,,,,406821.12,"$47,598.07",241.04,0.00,,,,
673,7th & N Street Park,694 N STREET NW,,Other - Public Services,,,,,,,,,,,,,1789.40,$209.36,1.06,0.00,,,38.91,-77.02
674,DOC Training Academy,2130 Queens Chapel Rd NE,,Other - Public Services,,,,,,,,,,,,,,,,,,,,
675,River Walkway Street Lights,,,Other - Public Services,,,,,,,,,,,,,,,,,,,38.91,-77.04
676,Marie Reed Community Learning Center,2200 CHAMPLAIN STREET NW,155000.00,Other - Public Services,,,,,,,,,,,,,,,,,,,38.92,-77.04
68,Lederer Gardens,4801 NANNIE HELEN BURROUGHS AVENUE NE,,Other - Recreation,,,,,,,,,,,,,19989.09,"$5,947.70",31.49,3705.31,,60.68%,38.90,-76.93
69,Kelly Miller Middle School ,301 49TH STREET NE,115000.00,K-12 School,61.00,Washington,US,DC,2004,115000,1.00,100.00,K-12 School,115000.00,CBECS - Elementary/Middle & High School,K-12 School,1163968.28,"$166,294.54",853.56,30914.02,$1.45,18.11%,38.89,-76.93
7,200 I Street Municipal Building,200 I STREET SE,408000.00,Office,52.00,Washington,US,DC,2010,406000,1.00,100.00,Office,406000.00,CBECS - Office & Bank/Financial,Office,6103935.72,"$719,048.68",3643.19,5018.69,$1.76,0.68%,38.88,-77.00
70,Aiton Elementary School,533 48TH PLACE NE,57100.00,K-12 School,57.00,Washington,US,DC,1960,57100,0.00,100.00,K-12 School,57100.00,CBECS - Elementary/Middle & High School,K-12 School,434673.03,"$67,836.03",349.97,17432.53,$1.19,25.03%,38.90,-76.93
71,Hunt Place Health Center,4130 HUNT PLACE NE,12773.00,Outpatient Rehabilitation/Physical Therapy,58.00,,,,,,,,,,,,160345.00,"$20,610.97",105.08,1900.00,$1.61,8.98%,,
72,Department of Employment Services Headquarters,4058 MINNESOTA AVENUE NE,229000.00,Office,60.00,Washington,US,DC,2010,229000,1.00,100.00,Office,229000.00,CBECS - Office & Bank/Financial,Office,4002861.37,"$468,334.78",2371.70,0.00,$2.05,,38.90,-76.95
73,Smothers Elementary School,4400 BROOKS STREET NE,43000.00,K-12 School,75.00,Washington,US,DC,1923,43000,1.00,100.00,K-12 School,43000.00,CBECS - Elementary/Middle & High School,K-12 School,359140.55,"$61,341.66",317.97,19838.00,$1.43,31.5%,,
74,DC Center for Therapeutic Recreation Pool,3030 G STREET SE,22334.00,Swimming Pool,236.00,Washington,US,DC,1977,28861,1.00,100.00,Other - Recreation,28861.00,CBECS - Recreation,Other - Recreation,723548.43,"$112,019.79",577.66,28095.10,$5.02,24.43%,,
75,Benning Park Recreation Center,5100 SOUTHERN AVENUE SE,23803.00,Other - Recreation,98.00,Washington,US,DC,1969,23803,0.00,100.00,Other - Recreation,23803.00,CBECS - Recreation,Other - Recreation,686129.53,"$80,277.16",406.53,0.00,$3.37,,38.88,-76.93
76,Davis Elementary,4430 H STREET SE,71100.00,K-12 School,77.00,Washington,US,DC,1000,71100,1.00,0.00,K-12 School,71100.00,CBECS - Elementary/Middle & High School,K-12 School,540523.19,"$98,608.76",512.78,36311.65,$1.39,35.87%,38.88,-76.94
77,Ridge Recreation Center,800 RIDGE ROAD SE,1843.00,Other - Recreation,1202.00,,,,,,,,,,,,598847.30,"$71,733.68",363.90,1713.09,$38.92,2.33%,38.88,-76.94
78,Sousa Middle School,3650 ELY PLACE SE,158000.00,K-12 School,67.00,Washington,US,DC,1959,158000,0.00,100.00,K-12 School,158000.00,CBECS - Elementary/Middle & High School,K-12 School,1791818.00,"$253,896.40",1302.55,45435.00,$1.61,17.43%,38.88,-76.95
79,Homeless Shelter #2,342 37TH STREET SE,15420.00,Other - Lodging/Residential,50.00,Washington,US,DC,1000,20000,1.00,100.00,Other - Lodging/Residential,20000.00,CBECS - Lodging,Other - Lodging/Residential,226664.21,"$26,519.71",134.30,0.00,$1.72,,,
8,C.W. Harris Elementary School,301 53RD STREET SE,56000.00,K-12 School,50.00,Washington,US,DC,1964,56000,1.00,100.00,K-12 School,56000.00,CBECS - Elementary/Middle & High School,K-12 School,362535.09,"$57,502.56",296.92,15488.66,$1.03,26.24%,38.88,-76.93
80,Anacostia Library,1800 GOOD HOPE ROAD SE,22000.00,Library,88.00,,,,,,,,,,,,395849.41,"$52,012.99",265.56,5850.73,$2.36,10.96%,38.87,-76.98
81,Naylor Road Temporary Shelter for Families,2603 NAYLOR ROAD SE,,Multifamily Housing,,Washington,US,DC,1950,15560,1.00,100.00,Multifamily Housing,15560.00,Fannie Mae Industry Survey - Multifamily,Multifamily Housing,136286.10,"$27,836.02",145.48,12207.95,,42.72%,38.86,-76.97
82,Randle Highlands Elementary School,1650 30TH STREET SE,75500.00,K-12 School,78.00,Washington,US,DC,2007,40000,1.00,100.00,K-12 School,40000.00,CBECS - Elementary/Middle & High School,K-12 School,1141569.44,"$152,816.54",781.18,19766.85,$2.02,12.6%,38.87,-76.96
83,Beers Elementary School,3600 ALABAMA AVENUE SE,77500.00,K-12 School,76.00,Washington,US,DC,1942,77500,1.00,100.00,K-12 School,77500.00,CBECS - Elementary/Middle & High School,K-12 School,1123174.67,"$151,545.95",775.08,20671.99,$1.96,13.29%,38.86,-76.96
84,MRDDA-Group Home,2305 36TH STREET SE,7250.00,Multifamily Housing,6.00,,,,,,,,,,,,2250.39,$631.11,3.34,377.63,$0.09,58.28%,38.86,-76.96
85,Park - 1411P MINNESOTA AVENUE SE,1411P MINNESOTA AVENUE SE,,Other - Recreation,,,,,,,,,,,,,1096.22,$128.26,0.65,0.00,,,,
86,Street Alley Cleaning Center,1801 MINNESOTA AVENUE SE,,Other - Public Services,,,,,,,,,,,,,866.78,$101.41,0.51,0.00,,,,
87,Anacostia Recreation Center,1800 ANACOSTIA DRIVE SE,17709.00,Other - Recreation,74.00,,,,,,,,,,,,192383.54,"$28,942.07",149.01,6604.92,$1.63,22.23%,38.87,-77.00
88,Orr Elementary School,2200 MINNESOTA AVENUE SE,75900.00,K-12 School,122.00,Washington,US,DC,1974,110100,1.00,100.00,K-12 School,110100.00,CBECS - Elementary/Middle & High School,K-12 School,1491831.05,"$215,434.62",1106.50,41981.92,$2.84,18.98%,,
89,Kramer Middle School,1700 Q STREET SE,154000.00,K-12 School,36.00,Washington,US,DC,2015,154000,1.00,100.00,K-12 School,154000.00,CBECS - Elementary/Middle & High School,K-12 School,1350884.44,"$167,285.00",850.65,9477.95,$1.09,5.52%,38.87,-76.98
9,Nalle Elementary School,219 50TH STREET SE,83900.00,K-12 School,82.00,Washington,US,DC,1950,83900,1.00,100.00,K-12 School,83900.00,CBECS - Elementary/Middle & High School,K-12 School,1086552.00,"$157,690.98",810.16,31380.28,$1.88,19.38%,38.89,-76.93
90,Anacostia Health Center,1328 W STREET SE,6300.00,Outpatient Rehabilitation/Physical Therapy,9.00,,,,,,,,,,,,17530.00,"$2,051.01",10.39,0.00,$0.33,,38.86,-76.99
91,DC Lottery Board,2101 MARTIN LUTHER KING JR AVENUE SE,75660.00,Office,20.00,Washington,US,DC,1000,75660,1.00,0.00,Office,75660.00,CBECS - Office & Bank/Financial,Office,310336.00,"$41,055.61",209.71,4873.00,$0.54,11.56%,,
92,Engine Company #15,2101 14TH STREET SE,10577.00,Fire Station,142.00,Washington,US,DC,1969,12720,1.00,100.00,Other - Public Services,12720.00,CBECS - Other,Other - Public Services,191564.81,"$30,624.49",158.20,8430.60,$2.90,26.81%,,
93,7th District Headquarters,2455 ALABAMA AVENUE SE,45098.00,Police Station,95.00,Washington,US,DC,1000,43190,1.00,100.00,Other - Public Services,43190.00,CBECS - Fire Station/Police Station,Police Station,900600.00,"$117,250.08",598.27,12197.00,$2.60,10.13%,38.85,-76.97
94,Stanton Elementary School,2701 NAYLOR ROAD SE,83800.00,K-12 School,58.00,Washington,US,DC,1944,83800,1.00,100.00,K-12 School,83800.00,CBECS - Elementary/Middle & High School,K-12 School,1435368.96,"$167,938.17",850.46,0.00,$2.00,,,
95,Garfield Elementary School,2435 ALABAMA AVENUE SE,58908.00,K-12 School,104.00,Washington,US,DC,1910,59908,1.00,100.00,K-12 School,58908.00,CBECS - Elementary/Middle & High School,K-12 School,560542.56,"$106,327.39",553.91,41831.53,$1.80,38.32%,,
96,Wilkinson Elementary,2330 POMEROY ROAD SE,144900.00,K-12 School,13.00,Washington,US,DC,1000,144900,1.00,0.00,K-12 School,144900.00,CBECS - Elementary/Middle & High School,K-12 School,490446.71,"$59,133.51",300.12,1797.99,$0.41,2.96%,,
97,Moten Elementary School,1565 MORRIS ROAD SE,99700.00,K-12 School,57.00,Washington,US,DC,1955,110000,1.00,100.00,K-12 School,110000.00,CBECS - Elementary/Middle & High School,K-12 School,902398.33,"$130,767.02",671.77,25858.74,$1.31,19.26%,38.86,-76.98
98,Turner Elementary School,3264 STANTON ROAD SE,77500.00,K-12 School,86.00,Washington,US,DC,1946,94500,0.00,100.00,K-12 School,94500.00,CBECS - Elementary/Middle & High School,K-12 School,1054071.77,"$153,126.18",786.75,30595.26,$1.98,19.46%,38.85,-76.98
99,DCPS Head Start,3240 STANTON ROAD SE,77500.00,Other - Education,11.00,Washington,US,DC,1000,77500,1.00,100.00,Other - Education,77500.00,CBECS - Education,Other - Education,260599.37,"$30,490.13",154.41,0.00,$0.39,,,
